artist,startTime,endTime
cleopatrick,2018-08-03T12:00:00-06:00,2018-08-03T12:30:00-06:00
Lauv,2018-08-03T16:00:00-06:00,2018-08-03T16:45:00-06:00
GRETA VAN FLEET,2018-08-03T18:30:00-06:00,2018-08-03T19:15:00-06:00
BROCKHAMPTON,2018-08-03T19:45:00-06:00,2018-08-03T20:30:00-06:00
Jungle,2018-08-03T21:00:00-06:00,2018-08-03T22:00:00-06:00
Big Wild,2018-08-03T17:15:00-06:00,2018-08-03T18:00:00-06:00
Clairo,2018-08-03T12:50:00-06:00,2018-08-03T13:30:00-06:00
Post Animal,2018-08-03T13:50:00-06:00,2018-08-03T14:30:00-06:00
CKY,2018-08-03T15:20:00-06:00,2018-08-03T16:00:00-06:00
Chase Atlantic,2018-08-03T16:30:00-06:00,2018-08-03T17:10:00-06:00
Mainland,2018-08-03T13:00:00-06:00,2018-08-03T13:40:00-06:00
R.LUM.R,2018-08-03T18:50:00-06:00,2018-08-03T19:30:00-06:00
Buddy,2018-08-03T17:40:00-06:00,2018-08-03T18:20:00-06:00
